SURF	LAB	RCO	Epsilon (ns)
0	0	0	1.622612
0	0	1	1.160476
0	1	0	1.554454
0	1	1	1.075961
0	2	0	1.734452
0	2	1	1.289873
0	3	0	1.462777
0	3	1	1.015564
1	0	0	1.516530
1	0	1	1.048858
1	1	0	1.763641
1	1	1	1.317782
1	2	0	1.516374
1	2	1	1.065884
1	3	0	1.633949
1	3	1	1.170896
2	0	0	1.642825
2	0	1	1.177245
2	1	0	1.686222
2	1	1	1.240075
2	2	0	1.580359
2	2	1	1.132503
2	3	0	1.690434
2	3	1	1.269089
3	0	0	1.777011
3	0	1	1.281970
3	1	0	1.588003
3	1	1	1.119625
3	2	0	1.603483
3	2	1	1.137508
3	3	0	1.594927
3	3	1	1.112859
4	0	0	1.639797
4	0	1	1.181903
4	1	0	1.486554
4	1	1	1.034536
4	2	0	1.529933
4	2	1	1.057073
4	3	0	1.847965
4	3	1	1.393594
5	0	0	1.599331
5	0	1	1.147199
5	1	0	1.618256
5	1	1	1.153099
5	2	0	1.546311
5	2	1	1.078014
5	3	0	1.626878
5	3	1	1.152143
6	0	0	1.795747
6	0	1	1.284806
6	1	0	1.711121
6	1	1	1.217069
6	2	0	1.819805
6	2	1	1.316091
6	3	0	1.784026
6	3	1	1.297441
7	0	0	1.615613
7	0	1	1.155447
7	1	0	1.777201
7	1	1	1.263657
7	2	0	1.659951
7	2	1	1.177724
7	3	0	1.561221
7	3	1	1.132393
8	0	0	1.600743
8	0	1	1.077971
8	1	0	1.788923
8	1	1	1.238081
8	2	0	1.744923
8	2	1	1.231325
8	3	0	1.642422
8	3	1	1.160372
9	0	0	1.609628
9	0	1	1.100851
9	1	0	1.748750
9	1	1	1.253931
9	2	0	1.835592
9	2	1	1.333000
9	3	0	1.685667
9	3	1	1.156795
10	0	0	1.655773
10	0	1	1.163702
10	1	0	1.442285
10	1	1	0.957101
10	2	0	1.678396
10	2	1	1.181836
10	3	0	1.584059
10	3	1	1.099270
11	0	0	1.678890
11	0	1	1.275311
11	1	0	1.476844
11	1	1	1.061758
11	2	0	1.600737
11	2	1	1.164599
11	3	0	1.631009
11	3	1	1.215252
