IRFCM ,CHANNEL,NOTCH 0,NOTCH 1,NOTCH 2
0,0,14,21,15
0,1,15,21,13
0,2,14,21,15
0,3,14,21,14
0,4,14,21,13
0,5,14,21,14
0,6,14,21,13
0,7,14,21,13
0,8,15,21,15
0,9,15,22,14
0,10,16,22,14
0,11,15,21,14
0,12,15,23,13
0,13,15,21,14
0,14,15,21,14
0,15,14,21,15
0,16,14,21,14
0,17,14,21,16
0,18,14,20,14
0,19,16,21,16
0,20,14,22,14
0,21,14,21,14
0,22,16,21,16
0,23,16,20,16
1,0,14,20,14
1,1,14,21,15
1,2,15,21,13
1,3,14,21,14
1,4,14,21,16
1,5,14,21,16
1,6,15,20,13
1,7,14,21,15
1,8,15,22,13
1,9,15,20,16
1,10,15,21,12
1,11,14,21,14
1,12,15,21,13
1,13,15,21,14
1,14,14,21,15
1,15,14,21,14
1,16,14,21,13
1,17,14,22,15
1,18,14,21,13
1,19,14,20,13
1,20,13,21,14
1,21,14,22,14
1,22,14,22,14
1,23,16,21,16
2,0,15,20,16
2,1,15,20,16
2,2,14,20,14
2,3,14,21,15
2,4,14,21,15
2,5,15,22,14
2,6,14,21,13
2,7,14,21,14
2,8,14,21,13
2,9,14,21,14
2,10,15,21,17
2,11,15,21,15
2,12,14,20,13
2,13,14,22,13
2,14,15,22,14
2,15,14,21,18
2,16,14,20,16
2,17,15,21,13
2,18,14,20,13
2,19,14,23,13
2,20,14,21,14
2,21,14,22,16
2,22,15,19,16
2,23,16,21,16
3,0,14,20,14
3,1,15,21,13
3,2,16,21,13
3,3,14,21,13
3,4,16,21,13
3,5,16,21,16
3,6,14,20,16
3,7,15,21,14
3,8,15,21,13
3,9,15,20,13
3,10,15,21,15
3,11,14,21,15
3,12,14,21,17
3,13,14,22,15
3,14,14,20,14
3,15,13,20,16
3,16,15,21,13
3,17,15,21,14
3,18,15,21,14
3,19,14,21,16
3,20,17,20,16
3,21,14,21,14
3,22,16,21,14
3,23,14,21,16
