SURF	LAB	RCO	epsilon(ns)
0	0	0	1.62713
0	0	1	1.17036
0	1	0	1.56108
0	1	1	1.07126
0	2	0	1.73701
0	2	1	1.29676
0	3	0	1.47476
0	3	1	1.01894
1	0	0	1.52437
1	0	1	1.06724
1	1	0	1.7675
1	1	1	1.32379
1	2	0	1.52123
1	2	1	1.07541
1	3	0	1.63871
1	3	1	1.18189
2	0	0	1.64318
2	0	1	1.18705
2	1	0	1.68733
2	1	1	1.24275
2	2	0	1.58649
2	2	1	1.12983
2	3	0	1.70064
2	3	1	1.27215
3	0	0	1.78808
3	0	1	1.29732
3	1	0	1.59563
3	1	1	1.12747
3	2	0	1.60833
3	2	1	1.1479
3	3	0	1.60302
3	3	1	1.12222
4	0	0	1.64638
4	0	1	1.17492
4	1	0	1.49451
4	1	1	1.02888
4	2	0	1.53892
4	2	1	1.06237
4	3	0	1.86269
4	3	1	1.39914
5	0	0	1.60184
5	0	1	1.1545
5	1	0	1.63108
5	1	1	1.16809
5	2	0	1.55745
5	2	1	1.08895
5	3	0	1.62427
5	3	1	1.16347
6	0	0	1.79591
6	0	1	1.28963
6	1	0	1.71623
6	1	1	1.22374
6	2	0	1.83861
6	2	1	1.32375
6	3	0	1.80356
6	3	1	1.30334
7	0	0	1.61859
7	0	1	1.15399
7	1	0	1.77515
7	1	1	1.27093
7	2	0	1.65984
7	2	1	1.18891
7	3	0	1.56688
7	3	1	1.13659
8	0	0	1.60318
8	0	1	1.08203
8	1	0	1.78899
8	1	1	1.23528
8	2	0	1.74517
8	2	1	1.23716
8	3	0	1.64324
8	3	1	1.16064
9	0	0	1.61514
9	0	1	1.11361
9	1	0	1.75104
9	1	1	1.25153
9	2	0	1.8392
9	2	1	1.33421
9	3	0	1.69148
9	3	1	1.17194
10	0	0	1.65996
10	0	1	1.1737
10	1	0	1.46119
10	1	1	0.977931
10	2	0	1.685
10	2	1	1.19796
10	3	0	1.59261
10	3	1	1.10621
11	0	0	1.6852
11	0	1	1.28034
11	1	0	1.49243
11	1	1	1.07094
11	2	0	1.61735
11	2	1	1.19224
11	3	0	1.62708
11	3	1	1.21727
