#Surf	 Chan	 LabChip 	 ADCToVolt [mV/ADC-tick]
6	3	0	5.34758
6	3	1	4.54535
6	3	2	4.71736
6	3	3	4.32979
8	6	0	1.77076
8	6	1	1.63528
8	6	2	1.73901
8	6	3	1.5325
5	3	0	2.15984
5	3	1	2.25001
5	3	2	2.11929
5	3	3	2.13471
4	7	0	3.03965
4	7	1	2.91035
4	7	2	2.89605
4	7	3	2.73478
4	3	0	2.06205
4	3	1	2.0532
4	3	2	2.0045
4	3	3	1.95774
10	4	0	2.29584
10	4	1	2.20081
10	4	2	2.19185
10	4	3	2.09269
4	4	0	1.98602
4	4	1	1.8969
4	4	2	1.88761
4	4	3	1.80611
1	0	0	2.11438
1	0	1	2.09251
1	0	2	2.0898
1	0	3	2.06812
0	5	0	2.0464
0	5	1	2.04746
0	5	2	2.02243
0	5	3	1.9255
4	1	0	3.12549
4	1	1	3.73419
4	1	2	3.12466
4	1	3	2.97198
4	5	0	1.99693
4	5	1	1.93181
4	5	2	1.92459
4	5	3	1.83184
9	5	0	3.16902
9	5	1	3.00837
9	5	2	3.00255
9	5	3	2.85212
5	6	0	2.79161
5	6	1	2.77281
5	6	2	2.56414
5	6	3	2.64702
5	2	0	2.23519
5	2	1	2.28934
5	2	2	2.18119
5	2	3	2.26534
4	6	0	2.527
4	6	1	2.46082
4	6	2	2.45568
4	6	3	2.29484
4	2	0	2.10979
4	2	1	2.10219
4	2	2	2.05172
4	2	3	1.99525
4	0	0	1.59727
4	0	1	1.59558
4	0	2	1.54098
4	0	3	1.52298
5	4	0	1.66521
5	4	1	1.67515
5	4	2	1.6318
5	4	3	1.63308
5	0	0	1.54564
5	0	1	1.6324
5	0	2	1.54357
5	0	3	1.59024
5	7	0	2.84279
5	7	1	2.83997
5	7	2	2.7476
5	7	3	2.74221
5	5	0	2.85203
5	5	1	2.87227
5	5	2	2.77098
5	5	3	2.85507
5	1	0	2.12536
5	1	1	2.17754
5	1	2	2.07948
5	1	3	2.12411
10	0	0	1.64382
10	0	1	1.62248
10	0	2	1.58057
